Reference           EntityFEDERATIVE REPUBLIC OF           BRAZIL|SectorGOVERNMENT|Market TypeSOV|Average Weekly Notional (USD EQ) 1,760,779,758|Average Number of Trades/Week 195           |Notional traded in prior 8 Weeks 10,544,193,061|Contracts traded in prior 8 Weeks 1,136           |DC RegionAmericas
WESTPAC BANKING           CORPORATION|FINANCIALS|CORP|47,388,846           |5 |149,000,000 |15 |Australia NZ
INTRUM AB|FINANCIALS|CORP|47,343,200           |16 |310,965,847 |107 |Europe
MCKESSON CORPORATION|CONSUMER SERVICES|CORP|47,295,585           |9 |163,750,000 |38 |Americas
XEROX CORPORATION|TECHNOLOGY|CORP|47,109,254           |14 |279,355,000 |153 |Americas
WALMART INC.|CONSUMER SERVICES|CORP|47,034,747           |7 |132,682,219 |34 |Americas
RITE AID CORPORATION|CONSUMER SERVICES|CORP|46,998,077           |21 |430,050,300 |171 |Americas
CANADIAN NATURAL RESOURCES           LIMITED|ENERGY|CORP|46,991,123           |17 |152,780,000 |44 |Americas
AUTOZONE, INC.|CONSUMER SERVICES|CORP|46,908,662           |9 |153,210,000 |39 |Americas
BATH & BODY WORKS,           INC.|CONSUMER SERVICES|CORP|46,706,654           |13 |323,700,000 |119 |Americas
FORD MOTOR CREDIT COMPANY           LLC|FINANCIALS|CORP|46,602,064           |11 |408,365,000 |105 |Americas
DARDEN RESTAURANTS, INC.|CONSUMER SERVICES|CORP|46,548,662           |10 |215,350,000 |69 |Americas
BOMBARDIER INC.|INDUSTRIALS|CORP|46,235,577           |12 |266,200,000 |87 |Americas
NRG ENERGY, INC.|UTILITIES|CORP|45,850,962           |16 |366,075,000 |156 |Americas
EASTMAN CHEMICAL COMPANY|BASIC MATERIALS|CORP|45,753,085           |10 |168,350,000 |35 |Americas
PUBLICIS GROUPE SA|CONSUMER SERVICES|CORP|45,533,981           |9 |293,421,313 |80 |Europe
AMERICAN ELECTRIC POWER           COMPANY, INC.|UTILITIES|CORP|45,282,431           |10 |63,050,000 |22 |Americas
KRAFT HEINZ FOODS COMPANY|CONSUMER GOODS|CORP|45,257,109           |11 |301,950,000 |132 |Americas
ARROW ELECTRONICS, INC.|CONSUMER SERVICES|CORP|45,135,354           |9 |212,650,000 |55 |Americas
ELO|CONSUMER SERVICES|CORP|45,050,828           |13 |539,602,965 |188 |Europe
THE GOODYEAR TIRE &           RUBBER COMPANY|CONSUMER GOODS|CORP|45,039,154           |17 |356,900,000 |177 |Americas
CNH INDUSTRIAL N.V.|INDUSTRIALS|CORP|44,867,320           |11 |414,039,866 |94 |Europe
MOTOROLA SOLUTIONS, INC.|TECHNOLOGY|CORP|44,631,354           |8 |179,050,000 |52 |Americas
M.D.C. HOLDINGS, INC.|CONSUMER GOODS|CORP|44,280,962           |12 |220,050,000 |82 |Americas
RAYTHEON TECHNOLOGIES           CORPORATION|INDUSTRIALS|CORP|44,202,046           |9 |84,425,000 |29 |Americas
VEOLIA ENVIRONNEMENT|UTILITIES|CORP|43,737,875           |7 |233,423,580 |59 |Europe
ALLIANZ SE|FINANCIALS|CORP|43,562,842           |10 |237,982,169 |58 |Europe
AVNET, INC.|CONSUMER SERVICES|CORP|43,420,462           |10 |245,730,000 |56 |Americas
LOCKHEED MARTIN           CORPORATION|INDUSTRIALS|CORP|43,118,046           |8 |166,850,000 |40 |Americas
BEAZER HOMES USA, INC.|CONSUMER GOODS|CORP|42,949,615           |18 |345,155,000 |183 |Americas
DANAHER CORPORATION|HEALTHCARE|CORP|42,802,662           |7 |129,370,000 |32 |Americas
COMMUNITY HEALTH SYSTEMS,           INC.|HEALTHCARE|CORP|42,632,385           |17 |314,160,000 |131 |Americas
TEVA PHARMACEUTICAL           INDUSTRIES LIMITED|HEALTHCARE|CORP|42,431,115           |15 |245,150,000 |87 |Americas
PITNEY BOWES INC.|TECHNOLOGY|CORP|42,411,685           |16 |331,450,000 |128 |Americas
